sentence,label
"['Jae', 'sy', 'vanghen', 'oock', 'Hasen', ',', 'Konynen', ',', 'Vosjes', ',', 'Swijntjes', ',', 'Gansen', ',', 'Kranen', ',', 'Eyndvoghels', ',', 'en', 'wilde', 'Hanen', '.']","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 2, 0]"
"['Om', 'Amarilla', 'mijn', 'beminde', ',', 'Slapende', 'te', 'vinden', 'By', 'een', 'Roosen', 'struyck', ':', 'Soo', 'haest', 'sy', 'nau', 'ter', 'aerden', 'sijgt', ',', 'Niet', 'eenen', 'blad', 'of', 'telgjen', 'swijgt', ':', 'Maer', 'seyd', ',', 'nu', 'Cloris', 'gaet', ',', 'En', 'u', 'met', 'Cusjes', 'saet', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Het', 'twede', 'bewys', 'is', ',', 'dat', 'de', 'Dieren', 'hier', 'zo', 'min', 'als', 'de', 'Menschen', 'alle', 'hunne', 'krachten', 'ontwikkelen', ',', 'en', 'niet', 'tot', 'die', 'volmaaktheid', 'komen', ',', 'waartoe', 'zy', 'volgends', 'hunnen', 'aanleg', 'bestemd', 'zyn', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Drie', 'fortuinzoekers', 'hadden', 'berekend', ',', 'dat', 'eene', 'zoo', 'zonderlinge', 'aankondiging', 'niet', 'kon', 'nalaten', ',', 'den', 'onfeilbaren', 'aftrek', 'van', 'zestig', 'duizend', 'Loterijbriefjes', ',', 'tot', 'een', 'zoo', 'geringen', 'prijs', ',', 'te', 'bezorgen', ',', 'en', 'voorhands', 'honderd', 'onderscheidene', 'middelen', 'beraamd', 'om', 'de', 'echtverbindtenis', 'te', 'voorkomen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Den', 'Munchbrasem', 'seght', 'Benedictus', 'den', 'Zeelt', ',', 'andere', 'den', 'Kapito', ',', 'gelijck', 'te', 'zijn', ':', 'Rondeletius', 'seght', ',', 'dat', 'hy', 'grooter', 'is', 'als', 'den', 'Orphus', 'der', 'Ouden', ',', 'die', 'van', 'den', 'Barbeel', 'wierdt', 'ingeslockt', ',', 'want', 'hy', 'weeght', 'wel', '20', 'pont', ',', 'en', 'den', 'Pagrus', 'gelijckt', ',', 'zijnde', 'uyt', 'den', 'paersen', 'roodt', ',', 'met', 'groote', 'oogen', ',', 'zaeghswijse', 'tanden', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Als', 'doen', 'ginck', 'hy', 'haer', 'Vader', 'vinden', '?']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Van', 'den', 'Heer', 'W', '.', 'Broes', 'ontving', 'de', 'Maatschappij', 'het', 'tweede', 'Deel', 'zijner', 'Leerredenen', ',', 'en', 'van', 'den', 'Heer', 'P', '.', 'Weiland', 'een', 'volledig', 'Exemplaar', 'van', 'deszelfs', 'Nederduitsch', 'taalkundig', 'Woordenboek', ',', 'terwijl', 'eindelijk', 'de', 'spreker', 'het', 'genoegen', 'had', ',', 'haar', 'zijne', 'Laudatio', 'Jani', 'Dousae', 'cum', 'subjunctis', 'annotationibus', 'aantebieden', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['De', 'magt', 'aan', 'Hem', 'verleend', 'zijnde', ',', 'moest', 'de', 'tijd', 'der', 'oneindige', 'kibbelarijen', 'en', 'van', 't', 'niet', 'gelastigd', 'wezen', 'voorbij', 'zijn', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Maegdenplicht', 'ofte', 'Ampt', 'enz', '.', 'Breed', '12o', 'met', 'platen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['DomingoAntilles', 'en', 'Caribische', 'Eilan', 'denFlamingo', ',', 'van', 'welken', 'seba', 'zyne', 'Figuur', 'ontleende', ',', 'was', 'hem', 'van', 'Curacao', 'gezondenPeru', ',', 'en', 'tot', 'in', 'ChiliZuid', 'America', ',', 'of', 'de', 'Reizigers', 'hebben', 'er', 'deezen', 'Vogel', 'aangetroffen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
